BSEID,NSEID,ISIN,industry,MARKET CAP,q_rank,q_txt,v_rank,v_txt,f_txt,tech_score,tech_txt,score,scoreText,prevScoreText
502986,VTL,INE825A01020,Garments & Apparels,"Rs 13,909 Cr (Mid Cap)",5,Good,-1,Expensive,Flat,0.67,Mildly Bullish,60.0,Hold,Sell
503811,SIYSIL,INE076B01028,Garments & Apparels,"Rs 3,156 Cr (Small Cap)",8,Average,1,Attractive,Flat,0.72,Mildly Bullish,58.0,Hold,Sell
500492,THEJO,INE121N01019,Industrial Manufacturing,Rs  Cr (Small Cap),-99999,Good,-2,Expensive,Positive,-0.39,Mildly Bearish,50.0,Hold,Sell
524330,JAYAGROGN,INE785A01026,Specialty Chemicals,Rs 775 Cr (Micro Cap),32,Average,0,Attractive,Negative,-0.39,Mildly Bearish,34.0,Sell,Strong Sell
539346,SADBHIN,INE764L01010,Construction,Rs 186 Cr (Micro Cap),6,Below Average,-2,Risky,Positive,-0.17,Mildly Bearish,23.0,Strong Sell,Sell
540153,ENDURANCE,INE913H01037,Auto Components & Equipments,"Rs 33,813 Cr (Large Cap)",12,Good,0,Fair,Positive,-0.22,Mildly Bearish,52.0,Hold,Sell
533284,RPPINFRA,INE324L01013,Construction,Rs 670 Cr (Micro Cap),13,Below Average,1,Attractive,Negative,-1.13,Bearish,14.0,Strong Sell,Sell
512381,STARTECK,INE992I01013,Non Banking Financial Company (NBFC),Rs 285 Cr (Micro Cap),-99997,Below Average,-2,Fair,Negative,0.06,Sideways,23.0,Strong Sell,Sell
532916,BVCL,INE139I01011,Cement & Cement Products,Rs 82 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Flat,-0.94,Mildly Bearish,31.0,Sell,Strong Sell
524652,INDSWFTLTD,INE788B01028,Pharmaceuticals & Biotechnology,Rs 94 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-0.06,Sideways,23.0,Strong Sell,Sell
532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,"Rs 7,838 Cr (Mid Cap)",40,Below Average,-1,Very Attractive,Very Positive,1.61,Bullish,66.0,Hold,Sell
532481,NOIDATOLL,INE781B01015,Transport Infrastructure,Rs 75 Cr (Micro Cap),-99997,Below Average,-2,Risky,Positive,-0.47,Mildly Bearish,23.0,Strong Sell,Sell
502820,DCM,INE498A01018,Computers - Software & Consulting,Rs 202 Cr (Micro Cap),49,Average,-2,Risky,Flat,1.22,Bullish,54.0,Hold,Sell
521109,NAGREEKEXP,INE123B01028,Garments & Apparels,Rs 92 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Very Negative,-0.5,Mildly Bearish,17.0,Strong Sell,Sell
532493,ASTRAMICRO,INE386C01029,Aerospace & Defense,"Rs 11,004 Cr (Mid Cap)",3,Good,2,Very Expensive,Positive,1.39,Bullish,71.0,Buy,Hold
539276,KAYA,INE587G01015,Leisure Services,Rs 439 Cr (Micro Cap),17,Below Average,-2,Risky,Negative,-0.44,Mildly Bearish,9.0,Strong Sell,Sell
534425,SPECIALITY,INE247M01014,Leisure Services,Rs 605 Cr (Micro Cap),18,Average,-2,Expensive,Negative,-1.11,Bearish,23.0,Strong Sell,Sell
530075,SELAN,INE818A01017,Oil,"Rs 1,160 Cr (Small Cap)",10,Average,1,Very Expensive,Very Positive,0.11,Mildly Bullish,62.0,Hold,Sell
500199,IGPL,INE204A01010,Commodity Chemicals,"Rs 1,497 Cr (Small Cap)",15,Average,1,Expensive,Flat,-0.22,Mildly Bearish,37.0,Sell,Hold
540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,"Rs 3,587 Cr (Small Cap)",21,Good,2,Very Expensive,Negative,0,Sideways,40.0,Sell,Hold
539289,AURUM,INE898S01029,Computers - Software & Consulting,"Rs 1,450 Cr (Small Cap)",34,Average,-1,Risky,Flat,0.22,Mildly Bullish,47.0,Sell,Strong Sell
532873,HDIL,INE191I01012,Realty,Rs 188 Cr (Micro Cap),30,Below Average,1,Risky,Very Positive,-0.33,Mildly Bearish,29.0,Strong Sell,Sell
531723,GATECH,INE224E01028,Non Banking Financial Company (NBFC),Rs 104 Cr (Micro Cap),32,Below Average,-2,Fair,Outstanding,-0.22,Mildly Bearish,43.0,Sell,Strong Sell
524570,PODDARMENT,INE371C01013,Dyes And Pigments,Rs 320 Cr (Micro Cap),5,Average,1,Attractive,Negative,-0.78,Mildly Bearish,34.0,Sell,Strong Sell
539436,COFFEEDAY,INE335K01011,Leisure Services,Rs 751 Cr (Micro Cap),11,Below Average,-1,Very Attractive,Negative,0.94,Mildly Bullish,38.0,Sell,Strong Sell
532729,UTTAMSUGAR,INE786F01031,Sugar,"Rs 1,161 Cr (Small Cap)",14,Average,-1,Attractive,Positive,0.5,Mildly Bullish,64.0,Hold,Sell
535958,ESSENTIA,INE418N01035,FMCG,Rs 245 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Negative,-0.83,Mildly Bearish,20.0,Strong Sell,Sell
532636,IIFL,INE530B01024,Non Banking Financial Company (NBFC),"Rs 19,968 Cr (Large Cap)",8,Good,0,Expensive,Negative,0.22,Mildly Bullish,51.0,Hold,Sell
517498,WEBELSOLAR,INE855C01015,Other Electrical Equipment,"Rs 5,655 Cr (Mid Cap)",2,Average,-1,Very Expensive,Outstanding,0.67,Mildly Bullish,68.0,Hold,Buy
532457,GULPOLY,INE255D01024,Other Agricultural Products,"Rs 1,119 Cr (Small Cap)",23,Below Average,0,Very Attractive,Flat,-0.94,Mildly Bearish,31.0,Sell,Strong Sell
539407,GENCON,INE854S01022,Realty,Rs 251 Cr (Micro Cap),66,Below Average,0,Very Attractive,Flat,0.11,Mildly Bullish,47.0,Sell,Strong Sell
500550,SIEMENS,INE003A01024,Heavy Electrical Equipment,"Rs 1,15,531 Cr (Large Cap)",1,Good,1,Very Expensive,Negative,-0.17,Mildly Bearish,34.0,Sell,Strong Sell
500189,NDLVENTURE,INE353A01023,Non Banking Financial Company (NBFC),Rs 226 Cr (Micro Cap),5,Does not qualify,-2,Risky,Flat,-0.28,Mildly Bearish,0.0,Not Rated,Sell
532628,3IINFOLTD,INE748C01038,Computers - Software & Consulting,Rs 431 Cr (Micro Cap),31,Below Average,-1,Attractive,Positive,0.06,Sideways,40.0,Sell,Strong Sell
532998,LOTUSEYE,INE947I01017,Hospital,Rs 150 Cr (Micro Cap),-99997,Average,-2,Very Expensive,Flat,0.83,Mildly Bullish,51.0,Hold,Strong Sell
507785,TAINWALCHM,INE123C01018,Plastic Products - Industrial,Rs 206 Cr (Micro Cap),-99997,Below Average,-2,Very Expensive,Positive,-0.06,Sideways,33.0,Sell,Strong Sell
509488,GRAPHITE,INE371A01025,Electrodes & Refractories,"Rs 10,228 Cr (Mid Cap)",1,Good,2,Expensive,Positive,-0.06,Sideways,55.0,Hold,Sell
532189,ITDC,INE353K01014,Hotels & Resorts,"Rs 5,133 Cr (Mid Cap)",11,Average,-2,Very Expensive,Very Positive,-0.33,Mildly Bearish,47.0,Sell,Hold
532218,SOUTHBANK,INE683A01023,Private Sector Bank,"Rs 7,736 Cr (Mid Cap)",12,Good,3,Very Attractive,Flat,1.22,Bullish,75.0,Buy,Hold
532859,HGS,INE170I01016,Commercial Services & Supplies,"Rs 2,501 Cr (Small Cap)",3,Average,2,Risky,Flat,-0.17,Mildly Bearish,31.0,Sell,Strong Sell
500355,RALLIS,INE613A01020,Pesticides & Agrochemicals,"Rs 5,889 Cr (Mid Cap)",5,Average,1,Expensive,Negative,0.11,Mildly Bullish,34.0,Sell,Strong Sell
532141,ACL,INE666E01020,Cement & Cement Products,Rs 617 Cr (Micro Cap),30,Below Average,-2,Risky,Flat,-0.17,Mildly Bearish,17.0,Strong Sell,Sell
514450,MHLXMIRU,INE112D01035,Garments & Apparels,Rs 231 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Positive,-0.06,Sideways,40.0,Sell,Hold
526371,NMDC,INE584A01023,Minerals & Mining,"Rs 62,809 Cr (Large Cap)",1,Excellent,2,Fair,Flat,-0.22,Mildly Bearish,70.0,Buy,Hold
532929,BRIGADE,INE791I01019,Realty,"Rs 28,858 Cr (Large Cap)",9,Average,0,Very Expensive,Very Positive,0.11,Mildly Bullish,62.0,Hold,Sell
539404,SATIN,INE836B01017,Finance,"Rs 1,784 Cr (Small Cap)",67,Below Average,-1,Very Attractive,Negative,-0.56,Mildly Bearish,23.0,Strong Sell,Sell
519383,ANIKINDS,INE087B01017,Trading & Distributors,Rs 311 Cr (Micro Cap),39,Below Average,3,Very Expensive,Positive,0.78,Mildly Bullish,43.0,Sell,Hold
539309,RAMASTEEL,INE230R01035,Iron & Steel Products,"Rs 1,983 Cr (Small Cap)",34,Average,1,Expensive,Negative,0.06,Sideways,34.0,Sell,Strong Sell
506480,GOCLCORP,INE077F01035,Other Chemical products,"Rs 1,912 Cr (Small Cap)",6,Below Average,-1,Risky,Flat,-0.17,Mildly Bearish,17.0,Strong Sell,Sell
517447,RSSOFTWARE,INE165B01029,Computers - Software & Consulting,Rs 156 Cr (Micro Cap),-99999,Below Average,-2,Attractive,Very Negative,-0.61,Mildly Bearish,17.0,Strong Sell,Sell
514418,MANORG,INE370D01013,Commodity Chemicals,Rs 471 Cr (Micro Cap),52,Average,0,Attractive,Positive,1.22,Bullish,71.0,Buy,Hold
539437,IDFCFIRSTB,INE092T01019,Private Sector Bank,"Rs 51,263 Cr (Large Cap)",5,Good,1,Expensive,Negative,0.89,Mildly Bullish,51.0,Hold,Sell
500185,HCC,INE549A01026,Construction,"Rs 6,008 Cr (Mid Cap)",20,Below Average,-2,Attractive,Positive,-0.06,Sideways,40.0,Sell,Strong Sell
531845,ZENITHSTL,INE318D01020,Iron & Steel Products,Rs 134 Cr (Micro Cap),-99997,Below Average,-2,Risky,Negative,0,Sideways,14.0,Strong Sell,Sell
532162,JKPAPER,INE789E01012,"Paper, Forest & Jute Products","Rs 6,165 Cr (Mid Cap)",3,Average,1,Very Attractive,Negative,-0.22,Mildly Bearish,37.0,Sell,Strong Sell
501295,IITL,INE886A01014,Non Banking Financial Company (NBFC),Rs 392 Cr (Micro Cap),83,Below Average,-2,Very Expensive,Negative,-0.78,Mildly Bearish,13.0,Strong Sell,Sell
532614,IMPEXFERRO,INE691G01015,Ferrous Metals,Rs 20 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-0.28,Mildly Bearish,17.0,Strong Sell,Sell
530117,PRIVISCL,INE959A01019,Specialty Chemicals,"Rs 9,178 Cr (Mid Cap)",18,Below Average,2,Very Expensive,Outstanding,1.5,Bullish,61.0,Hold,Sell
541153,BANDHANBNK,INE545U01014,Private Sector Bank,"Rs 28,095 Cr (Large Cap)",-99999,Good,10,Very Attractive,Negative,0.22,Mildly Bullish,60.0,Hold,Sell
532597,BALAXI,INE618N01022,Pharmaceuticals & Biotechnology,Rs  Cr (Micro Cap),-99997,Average,-2,Very Attractive,Flat,-1,Bearish,40.0,Sell,Strong Sell
539450,SHK,INE500L01026,Specialty Chemicals,"Rs 3,278 Cr (Small Cap)",25,Average,3,Attractive,Flat,0.17,Mildly Bullish,58.0,Hold,Sell
519091,TASTYBITE,INE488B01017,FMCG,"Rs 2,797 Cr (Small Cap)",22,Average,-1,Fair,Positive,-0.17,Mildly Bearish,45.0,Sell,Strong Sell
538635,SNOWMAN,INE734N01019,Transport Services,"Rs 1,008 Cr (Small Cap)",14,Average,-1,Attractive,Flat,-0.06,Sideways,48.0,Sell,Strong Sell
520021,OMAXAUTO,INE090B01011,Auto Components & Equipments,Rs 188 Cr (Micro Cap),46,Below Average,0,Attractive,Positive,-0.72,Mildly Bearish,34.0,Sell,Strong Sell
523369,DCMSRIND,INE843D01027,Sugar,"Rs 1,495 Cr (Small Cap)",4,Average,1,Attractive,Negative,-0.72,Mildly Bearish,34.0,Sell,Hold
531162,EMAMILTD,INE548C01032,FMCG,"Rs 24,824 Cr (Large Cap)",17,Good,-1,Expensive,Flat,-0.83,Mildly Bearish,44.0,Sell,Hold
532762,ACE,INE731H01025,Automobiles,"Rs 14,457 Cr (Mid Cap)",9,Average,1,Very Expensive,Positive,-1,Bearish,36.0,Sell,Hold
531146,MEDICAMEQ,INE646B01010,Pharmaceuticals & Biotechnology,Rs 567 Cr (Micro Cap),51,Average,-1,Expensive,Negative,-1.33,Bearish,23.0,Strong Sell,Sell
524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,"Rs 16,978 Cr (Mid Cap)",45,Good,-1,Very Expensive,Very Negative,0.11,Mildly Bullish,47.0,Sell,Strong Sell
532432,UNITDSPR,INE854D01024,Beverages,"Rs 1,05,830 Cr (Large Cap)",3,Good,0,Very Expensive,Flat,0.83,Mildly Bullish,58.0,Hold,Sell
531349,PANACEABIO,INE922B01023,Pharmaceuticals & Biotechnology,"Rs 2,758 Cr (Small Cap)",62,Below Average,-1,Risky,Negative,0.89,Mildly Bullish,24.0,Strong Sell,Sell
539254,ADANIENSOL,INE931S01010,Power,"Rs 1,03,509 Cr (Large Cap)",8,Below Average,0,Very Expensive,Very Positive,0.61,Mildly Bullish,56.0,Hold,Sell
522285,JAYNECOIND,INE854B01010,Iron & Steel Products,"Rs 3,833 Cr (Small Cap)",51,Below Average,-1,Attractive,Very Positive,-0.06,Sideways,46.0,Sell,Hold
533217,HMVL,INE871K01015,Media & Entertainment,Rs 655 Cr (Micro Cap),8,Below Average,3,Risky,Very Positive,-0.17,Mildly Bearish,34.0,Sell,Strong Sell
522205,PRAJIND,INE074A01025,Industrial Manufacturing,"Rs 9,140 Cr (Mid Cap)",12,Excellent,-1,Expensive,Negative,-0.5,Mildly Bearish,42.0,Sell,Hold
513349,AJMERA,INE298G01027,Realty,"Rs 3,748 Cr (Small Cap)",15,Below Average,1,Very Expensive,Negative,0.17,Mildly Bullish,28.0,Strong Sell,Sell
533293,KIRLOSENG,INE146L01010,"Compressors, Pumps & Diesel Engines","Rs 12,792 Cr (Mid Cap)",4,Good,0,Attractive,Negative,0.06,Sideways,47.0,Sell,Hold
532989,BAFNAPH,INE878I01022,Pharmaceuticals & Biotechnology,Rs 171 Cr (Micro Cap),-99997,Average,-2,Attractive,Positive,-1.22,Bearish,43.0,Sell,Strong Sell
539302,POWERMECH,INE211R01019,Construction,"Rs 9,573 Cr (Mid Cap)",9,Good,-1,Attractive,Positive,1,Mildly Bullish,71.0,Buy,Hold
540124,GNA,INE934S01014,Auto Components & Equipments,"Rs 1,352 Cr (Small Cap)",37,Good,2,Attractive,Flat,-0.94,Mildly Bearish,44.0,Sell,Hold
526227,FILATEX,INE816B01035,Garments & Apparels,"Rs 2,396 Cr (Small Cap)",41,Average,-1,Fair,Positive,-0.22,Mildly Bearish,45.0,Sell,Hold
539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,"Rs 57,243 Cr (Large Cap)",15,Good,0,Fair,Negative,-1,Bearish,33.0,Sell,Hold
530655,GOODLUCK,INE127I01024,Iron & Steel Products,"Rs 3,184 Cr (Small Cap)",29,Average,2,Attractive,Flat,0.17,Mildly Bullish,58.0,Hold,Sell
532941,CORDSCABLE,INE792I01017,Cables - Electricals,Rs 256 Cr (Micro Cap),-99997,Average,2,Very Attractive,Positive,0.11,Mildly Bullish,67.0,Hold,Buy
532822,IDEA,INE669E01016,Telecom - Services,"Rs 72,373 Cr (Large Cap)",2,Below Average,-2,Risky,Flat,-1.28,Bearish,12.0,Strong Sell,Sell
526725,SANDESH,INE583B01015,Media & Entertainment,Rs 876 Cr (Micro Cap),7,Average,2,Risky,Negative,-0.5,Mildly Bearish,23.0,Strong Sell,Sell
538365,INCREDIBLE,INE452L01012,Iron & Steel Products,Rs 200 Cr (Micro Cap),48,Below Average,0,Very Attractive,Very Positive,0.06,Sideways,43.0,Sell,Hold
500413,THOMASCOOK,INE332A01027,"Tour, Travel Related Services","Rs 7,581 Cr (Mid Cap)",1,Average,-2,Attractive,Flat,-0.28,Mildly Bearish,42.0,Sell,Hold
539301,ARVSMART,INE034S01021,Realty,"Rs 3,154 Cr (Small Cap)",29,Average,1,Very Expensive,Positive,0.17,Mildly Bullish,57.0,Hold,Sell
539686,KPEL,INE127T01021,Power,"Rs 3,476 Cr (Small Cap)",-99999,Average,-1,Expensive,Very Positive,-0.06,Sideways,52.0,Hold,Sell
521246,PARASPETRO,INE162C01024,Non Banking Financial Company (NBFC),Rs 87 Cr (Micro Cap),-99999,Does not qualify,-2,Risky,Flat,-0.39,Mildly Bearish,0.0,Not Rated,Sell
500620,GESHIP,INE017A01032,Transport Services,"Rs 14,297 Cr (Mid Cap)",1,Good,1,Fair,Very Negative,-0.06,Sideways,41.0,Sell,Hold
532305,INDSWFTLAB,INE915B01019,Pharmaceuticals & Biotechnology,Rs 646 Cr (Micro Cap),64,Below Average,-1,Attractive,Very Negative,-0.17,Mildly Bearish,17.0,Strong Sell,Sell
532885,CENTRALBK,INE483A01010,Public Sector Bank,"Rs 34,187 Cr (Large Cap)",11,Average,-1,Very Attractive,Flat,-0.22,Mildly Bearish,45.0,Sell,Hold
538386,NIRAJISPAT,INE326T01011,Diversified,Rs  Cr (Micro Cap),-99997,Below Average,-2,Very Expensive,Flat,-0.02,Sideways,27.0,Strong Sell,Sell
505714,GABRIEL,INE524A01029,Auto Components & Equipments,"Rs 8,787 Cr (Mid Cap)",5,Good,2,Very Expensive,Positive,1.22,Bullish,71.0,Buy,Hold
540680,KIOCL,INE880L01014,Ferrous Metals,"Rs 18,114 Cr (Mid Cap)",-99999,Below Average,-2,Risky,Negative,0.11,Mildly Bullish,24.0,Strong Sell,Sell
500097,DALMIASUG,INE495A01022,Sugar,"Rs 3,401 Cr (Small Cap)",5,Average,2,Attractive,Flat,-0.22,Mildly Bearish,42.0,Sell,Hold
533203,TARAPUR,INE747K01017,Heavy Electrical Equipment,Rs 50 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-1.06,Bearish,12.0,Strong Sell,Sell
532216,HBSL,INE550B01022,Non Banking Financial Company (NBFC),Rs 70 Cr (Micro Cap),-99997,Below Average,-2,Risky,Negative,-0.33,Mildly Bearish,9.0,Strong Sell,Sell
521163,ZODIACLOTH,INE206B01013,Garments & Apparels,Rs 288 Cr (Micro Cap),93,Below Average,-2,Risky,Flat,-0.39,Mildly Bearish,17.0,Strong Sell,Sell
500335,BIRLACORPN,INE340A01012,Cement & Cement Products,"Rs 10,368 Cr (Mid Cap)",10,Below Average,-1,Attractive,Positive,0.89,Mildly Bullish,50.0,Hold,Sell
534369,TBZ,INE760L01018,"Gems, Jewellery And Watches","Rs 1,268 Cr (Small Cap)",6,Average,-1,Very Attractive,Negative,-0.39,Mildly Bearish,37.0,Sell,Hold
517015,VINDHYATEL,INE707A01012,Telecom -  Equipment & Accessories,"Rs 1,977 Cr (Small Cap)",7,Below Average,1,Very Attractive,Negative,-0.22,Mildly Bearish,23.0,Strong Sell,Sell
512553,ZENITHEXPO,INE058B01018,Diversified consumer products,Rs 135 Cr (Micro Cap),51,Below Average,-2,Risky,Flat,-0.67,Mildly Bearish,17.0,Strong Sell,Sell
538685,SHEMAROO,INE363M01019,Media & Entertainment,Rs 298 Cr (Micro Cap),12,Below Average,1,Risky,Positive,-0.22,Mildly Bearish,23.0,Strong Sell,Sell
500086,EXIDEIND,INE302A01020,Auto Components & Equipments,"Rs 32,989 Cr (Large Cap)",1,Good,-1,Very Expensive,Negative,-0.17,Mildly Bearish,34.0,Sell,Strong Sell
532986,NIRAJ,INE368I01016,Construction,Rs 329 Cr (Micro Cap),-99997,Average,-2,Very Attractive,Positive,-0.89,Mildly Bearish,51.0,Hold,Sell
533553,TDPOWERSYS,INE419M01027,Heavy Electrical Equipment,"Rs 7,691 Cr (Mid Cap)",54,Good,-2,Very Expensive,Very Positive,1.11,Bullish,77.0,Buy,Hold
509930,SUPREMEIND,INE195A01028,Plastic Products - Industrial,"Rs 53,652 Cr (Large Cap)",1,Excellent,-1,Very Expensive,Negative,-0.11,Mildly Bearish,41.0,Sell,Hold
521064,TRIDENT,INE064C01022,Garments & Apparels,"Rs 15,599 Cr (Mid Cap)",30,Average,-1,Fair,Positive,-0.33,Mildly Bearish,45.0,Sell,Strong Sell
524709,NACLIND,INE295D01020,Pesticides & Agrochemicals,"Rs 3,707 Cr (Small Cap)",16,Below Average,-1,Risky,Very Negative,1.22,Bullish,29.0,Strong Sell,Sell
500410,ACC,INE012A01025,Cement & Cement Products,"Rs 34,575 Cr (Large Cap)",5,Good,1,Very Attractive,Flat,-1,Bearish,47.0,Sell,Hold
532309,GEPIL,INE878A01011,Heavy Electrical Equipment,"Rs 2,177 Cr (Small Cap)",45,Below Average,2,Risky,Negative,0,Sideways,14.0,Strong Sell,Sell
539332,NAVKARCORP,INE278M01019,Transport Services,"Rs 1,665 Cr (Small Cap)",12,Below Average,1,Risky,Negative,0.06,Sideways,14.0,Strong Sell,Sell
532456,COMPINFO,INE070C01037,IT - Hardware,Rs 17 Cr (Micro Cap),5,Below Average,1,Risky,Very Negative,0.17,Mildly Bullish,22.0,Strong Sell,Sell
533138,ASTEC,INE563J01010,Pesticides & Agrochemicals,"Rs 1,549 Cr (Small Cap)",12,Below Average,-1,Risky,Negative,-0.33,Mildly Bearish,9.0,Strong Sell,Sell
532777,NAUKRI,INE663F01032,E-Retail/ E-Commerce,"Rs 93,258 Cr (Large Cap)",28,Good,-1,Very Expensive,Positive,0,Sideways,64.0,Hold,Sell
