BSEID,NSEID,ISIN,industry,MARKET CAP,q_rank,q_txt,v_rank,v_txt,f_txt,tech_score,tech_txt,score,scoreText,prevScoreText
523594,,INE638D01021,Plastic Products - Industrial,Rs 17 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Flat,-0.87,Mildly Bearish,28.0,Strong Sell,Sell
531962,,INE914B01012,Non Banking Financial Company (NBFC),Rs 21 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Positive,-0.13,Mildly Bearish,37.0,Sell,Strong Sell
524330,JAYAGROGN,INE785A01026,Specialty Chemicals,Rs 782 Cr (Micro Cap),32,Average,0,Attractive,Negative,-0.28,Mildly Bearish,34.0,Sell,Strong Sell
532745,,INE347H01012,Non Banking Financial Company (NBFC),Rs 19 Cr (Micro Cap),68,Below Average,1,Fair,Very Negative,-0.13,Mildly Bearish,14.0,Strong Sell,Sell
505714,GABRIEL,INE524A01029,Auto Components & Equipments,"Rs 9,057 Cr (Mid Cap)",5,Good,2,Very Expensive,Positive,1.22,Bullish,64.0,Hold,Buy
500265,MAHSEAMLES,INE271B01025,Iron & Steel Products,"Rs 8,991 Cr (Mid Cap)",19,Good,0,Fair,Flat,0.56,Mildly Bullish,62.0,Hold,Sell
532885,CENTRALBK,INE483A01010,Public Sector Bank,"Rs 36,749 Cr (Large Cap)",11,Average,-1,Very Attractive,Flat,-0.11,Mildly Bearish,45.0,Sell,Hold
532432,UNITDSPR,INE854D01024,Beverages,"Rs 1,17,285 Cr (Large Cap)",3,Good,0,Very Expensive,Flat,1.33,Bullish,65.0,Hold,Sell
535693,,INE320I01017,Construction,Rs 201 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Very Positive,0,Sideways,48.0,Sell,Hold
500410,ACC,INE012A01025,Cement & Cement Products,"Rs 35,586 Cr (Large Cap)",5,Good,1,Very Attractive,Flat,-0.89,Mildly Bearish,52.0,Hold,Sell
532712,RCOM,INE330H01018,Telecom - Services,Rs 539 Cr (Micro Cap),4,Below Average,-2,Risky,Flat,,Does not qualify,23.0,Strong Sell,Sell
509845,,INE712Z01019,Realty,Rs 13 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Positive,,Does not qualify,,Not Rated,Not Rated
500199,IGPL,INE204A01010,Commodity Chemicals,"Rs 1,490 Cr (Small Cap)",15,Average,1,Fair,Flat,-0.17,Mildly Bearish,40.0,Sell,Hold
532989,BAFNAPH,INE878I01022,Pharmaceuticals & Biotechnology,Rs 176 Cr (Micro Cap),-99997,Average,-2,Attractive,Positive,-1.28,Bearish,43.0,Sell,Strong Sell
532809,FSL,INE684F01012,Commercial Services & Supplies,"Rs 26,432 Cr (Large Cap)",5,Good,0,Attractive,Positive,1.5,Bullish,78.0,Buy,Hold
512511,,INE442U01014,Diversified Commercial Services,Rs 0 Cr (Micro Cap),-99999,Does not qualify,-99999,Does not qualify,Flat,,Does not qualify,,Not Rated,Not Rated
533293,KIRLOSENG,INE146L01010,"Compressors, Pumps & Diesel Engines","Rs 12,707 Cr (Mid Cap)",4,Good,0,Attractive,Negative,-0.39,Mildly Bearish,41.0,Sell,Hold
540153,ENDURANCE,INE913H01037,Auto Components & Equipments,"Rs 35,448 Cr (Large Cap)",12,Good,0,Fair,Positive,0.06,Sideways,58.0,Hold,Sell
507785,TAINWALCHM,INE123C01018,Plastic Products - Industrial,Rs 198 Cr (Micro Cap),-99997,Below Average,-2,Very Expensive,Positive,-0.44,Mildly Bearish,27.0,Strong Sell,Sell
532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,"Rs 7,218 Cr (Mid Cap)",40,Below Average,-1,Very Attractive,Very Positive,1.28,Bullish,66.0,Hold,Sell
500413,THOMASCOOK,INE332A01027,"Tour, Travel Related Services","Rs 8,139 Cr (Mid Cap)",1,Average,-2,Attractive,Flat,-0.17,Mildly Bearish,42.0,Sell,Hold
500040,ABREL,INE055A01016,"Paper, Forest & Jute Products","Rs 24,220 Cr (Large Cap)",6,Average,1,Very Expensive,Very Negative,0,Sideways,24.0,Strong Sell,Sell
526604,,INE845B01018,Industrial Manufacturing,Rs 16 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Flat,1.33,Bullish,0.0,Not Rated,Strong Sell
526227,FILATEX,INE816B01035,Garments & Apparels,"Rs 2,572 Cr (Small Cap)",41,Average,-1,Fair,Positive,-0.17,Mildly Bearish,61.0,Hold,Sell
532859,HGS,INE170I01016,Commercial Services & Supplies,"Rs 2,359 Cr (Small Cap)",3,Average,2,Risky,Flat,-0.67,Mildly Bearish,31.0,Sell,Strong Sell
533248,GPPL,INE517F01014,Transport Infrastructure,"Rs 7,629 Cr (Mid Cap)",2,Good,-1,Very Expensive,Flat,-0.06,Sideways,48.0,Sell,Hold
533095,,INE083K01017,Non Banking Financial Company (NBFC),"Rs 8,557 Cr (Mid Cap)",42,Average,-2,Expensive,Very Negative,-0.6,Mildly Bearish,26.0,Strong Sell,Sell
500440,HINDALCO,INE038A01020,Non - Ferrous Metals,"Rs 1,43,227 Cr (Large Cap)",1,Good,0,Very Attractive,Very Positive,-0.28,Mildly Bearish,64.0,Hold,Buy
523369,DCMSRIND,INE843D01027,Sugar,"Rs 1,458 Cr (Small Cap)",4,Average,1,Attractive,Negative,-0.61,Mildly Bearish,34.0,Sell,Hold
507621,,INE588G01021,FMCG,Rs 204 Cr (Micro Cap),23,Below Average,-1,Very Attractive,Negative,-0.53,Mildly Bearish,23.0,Strong Sell,Sell
531878,,INE283D01018,Non Banking Financial Company (NBFC),Rs 13 Cr (Micro Cap),-99997,Does not qualify,-2,Very Attractive,Flat,-1.07,Bearish,0.0,Not Rated,Sell
517334,MOTHERSON,INE775A01035,Auto Components & Equipments,"Rs 1,09,661 Cr (Large Cap)",1,Good,0,Attractive,Flat,0,Sideways,55.0,Hold,Sell
522101,KILBUNENGG,INE338F01015,Industrial Manufacturing,"Rs 2,015 Cr (Small Cap)",-99997,Good,-2,Very Expensive,Flat,-0.27,Mildly Bearish,42.0,Sell,Hold
505502,,INE953M01033,Non Banking Financial Company (NBFC),Rs 6 Cr (Micro Cap),40,Does not qualify,0,Risky,Positive,-1.27,Bearish,0.0,Not Rated,Strong Sell
502933,,INE498G01015,Garments & Apparels,Rs 48 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-0.93,Mildly Bearish,17.0,Strong Sell,Sell
533758,APLAPOLLO,INE702C01027,Iron & Steel Products,"Rs 53,090 Cr (Large Cap)",3,Excellent,0,Fair,Positive,1.5,Bullish,82.0,Strong Buy,Hold
530419,,INE886B01012,Non Banking Financial Company (NBFC),Rs 51 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Negative,-0.73,Mildly Bearish,20.0,Strong Sell,Sell
531162,EMAMILTD,INE548C01032,FMCG,"Rs 25,306 Cr (Large Cap)",17,Good,-1,Expensive,Flat,-0.83,Mildly Bearish,44.0,Sell,Hold
530011,MANGCHEFER,INE558B01017,Fertilizers,"Rs 3,329 Cr (Small Cap)",-99999,Average,-1,Expensive,Positive,1.67,Bullish,65.0,Hold,Buy
526237,,INE902C01015,Non Banking Financial Company (NBFC),Rs 121 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Positive,1.6,Bullish,57.0,Hold,Buy
513488,,INE387D01025,Iron & Steel Products,Rs 11 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-0.53,Mildly Bearish,17.0,Strong Sell,Sell
531191,,INE589N01017,Trading & Distributors,Rs  Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,,Does not qualify,0.0,Not Rated,
590030,SPIC,INE147A01011,Fertilizers,"Rs 1,782 Cr (Small Cap)",8,Average,1,Attractive,Flat,1.17,Bullish,65.0,Hold,Sell
539112,,INE137M01017,Construction,Rs 228 Cr (Micro Cap),-99997,Average,-2,Very Expensive,Negative,-0.67,Mildly Bearish,27.0,Strong Sell,Sell
524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,"Rs 15,480 Cr (Mid Cap)",45,Good,-1,Very Expensive,Very Negative,-0.17,Mildly Bearish,31.0,Sell,Strong Sell
526711,,INE627D01016,Pesticides & Agrochemicals,Rs 26 Cr (Micro Cap),-99999,Below Average,-2,Risky,Negative,-0.87,Mildly Bearish,9.0,Strong Sell,Sell
522231,,INE714D01020,Construction,Rs 61 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Positive,-0.07,Sideways,40.0,Sell,Strong Sell
532636,IIFL,INE530B01024,Non Banking Financial Company (NBFC),"Rs 18,267 Cr (Mid Cap)",8,Good,0,Expensive,Negative,0.22,Mildly Bullish,51.0,Hold,Sell
523606,,INE438E01032,Aerospace & Defense,"Rs 3,116 Cr (Small Cap)",-99997,Average,-2,Very Expensive,Positive,1.27,Bullish,64.0,Hold,Buy
505585,,INE735U01011,Diversified Commercial Services,Rs  Cr (Micro Cap),-99999,Does not qualify,-99999,Does not qualify,Flat,,Does not qualify,,Not Rated,Not Rated
500164,GODREJIND,INE233A01035,Diversified,"Rs 40,641 Cr (Large Cap)",13,Below Average,-1,Attractive,Positive,1.61,Bullish,57.0,Hold,Sell
500314,ORIENTHOT,INE750A01020,Hotels & Resorts,"Rs 2,855 Cr (Small Cap)",19,Average,-1,Expensive,Positive,0.22,Mildly Bullish,58.0,Hold,Sell
538273,,INE401B01010,Software Products,Rs 31 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Flat,-1.07,Bearish,26.0,Strong Sell,Sell
506248,AMNPLST,INE275D01022,Commodity Chemicals,"Rs 1,293 Cr (Small Cap)",36,Average,-1,Expensive,Positive,0,Sideways,48.0,Sell,Hold
530655,GOODLUCK,INE127I01024,Iron & Steel Products,"Rs 3,258 Cr (Small Cap)",29,Average,2,Attractive,Flat,0.11,Mildly Bullish,58.0,Hold,Sell
534309,NBCC,INE095N01031,Construction,"Rs 34,290 Cr (Large Cap)",2,Good,0,Very Expensive,Positive,1.22,Bullish,71.0,Buy,Hold
514167,GANECOS,INE845D01014,Garments & Apparels,"Rs 3,784 Cr (Small Cap)",15,Average,-1,Fair,Positive,-0.89,Mildly Bearish,45.0,Sell,Hold
531192,,INE290M01022,Finance/NBFC,Rs 15 Cr (Micro Cap),-99997,Does not qualify,-2,Does not qualify,Negative,0.33,Mildly Bullish,0.0,Not Rated,Not Rated
500388,,INE970C01012,"Paper, Forest & Jute Products",Rs 66 Cr (Micro Cap),-99997,Below Average,-2,Fair,Very Positive,0.67,Mildly Bullish,53.0,Hold,Sell
531569,,INE860D01013,Pharmaceuticals & Biotechnology,Rs 297 Cr (Micro Cap),-99997,Good,-2,Very Expensive,Positive,-0.67,Mildly Bearish,48.0,Sell,Hold
531862,,INE842D01029,Fertilizers,Rs 224 Cr (Micro Cap),-99997,Below Average,-2,Risky,Positive,-0.47,Mildly Bearish,23.0,Strong Sell,Sell
531861,,INE024B01010,Capital Markets,Rs 77 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Negative,0.07,Sideways,28.0,Strong Sell,Sell
532941,CORDSCABLE,INE792I01017,Cables - Electricals,Rs 256 Cr (Micro Cap),-99997,Average,2,Very Attractive,Positive,0,Sideways,57.0,Hold,Buy
532814,INDIANB,INE562A01011,Public Sector Bank,"Rs 85,027 Cr (Large Cap)",2,Good,1,Very Attractive,Positive,1.44,Bullish,81.0,Strong Buy,Buy
532150,INDRAMEDCO,INE681B01017,Hospital,"Rs 3,957 Cr (Small Cap)",-99999,Good,2,Attractive,Positive,-0.17,Mildly Bearish,55.0,Hold,Buy
570002,FELDVR,IN9623B01058,Diversified Retail,Rs 15 Cr (Micro Cap),-99997,Does not qualify,-2,Does not qualify,Does not qualify,-0.89,Mildly Bearish,0.0,Not Rated,Not Rated
507946,,INE845A01028,Non Banking Financial Company (NBFC),Rs 44 Cr (Micro Cap),-99997,Below Average,-2,Risky,Negative,-0.93,Mildly Bearish,9.0,Strong Sell,Sell
531716,,INE843F01014,FMCG,Rs 5 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,1.33,Bullish,40.0,Sell,Strong Sell
532404,,INE856B01023,Computers - Software & Consulting,Rs 51 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Flat,-0.67,Mildly Bearish,28.0,Strong Sell,Sell
530973,,INE042C01010,Plastic Products - Industrial,Rs 32 Cr (Micro Cap),7,Below Average,-2,Very Attractive,Positive,-0.27,Mildly Bearish,37.0,Sell,Strong Sell
526445,,INE007C01021,Other Agricultural Products,Rs 72 Cr (Micro Cap),-99999,Below Average,-2,Very Attractive,Very Negative,-1,Bearish,15.0,Strong Sell,Sell
504882,,INE166R01015,Realty,"Rs 5,831 Cr (Mid Cap)",-99997,Average,-2,Very Expensive,Flat,-1.47,Bearish,30.0,Sell,Strong Sell
512157,,INE123V01018,Diversified Commercial Services,0,-99999,Does not qualify,-99999,Does not qualify,Flat,,Does not qualify,,,
531091,,INE858C01027,Non Banking Financial Company (NBFC),Rs 17 Cr (Micro Cap),-99997,Below Average,-2,Fair,Flat,0.13,Mildly Bullish,41.0,Sell,Strong Sell
533284,RPPINFRA,INE324L01013,Construction,Rs 711 Cr (Micro Cap),13,Below Average,1,Attractive,Negative,-1,Bearish,14.0,Strong Sell,Sell
538863,,INE985Q01010,Non Banking Financial Company (NBFC),Rs 8 Cr (Micro Cap),-99999,Does not qualify,-99999,Does not qualify,Flat,,Does not qualify,,Not Rated,Not Rated
538961,GENUSPAPER,INE949P01018,"Paper, Forest & Jute Products",Rs 515 Cr (Micro Cap),20,Below Average,-1,Attractive,Flat,-0.39,Mildly Bearish,28.0,Strong Sell,Sell
526717,,INE136C01044,Packaging,Rs 174 Cr (Micro Cap),18,Average,-1,Very Attractive,Outstanding,-0.2,Mildly Bearish,62.0,Hold,Sell
509709,INTLCONV,INE575C01027,Industrial Manufacturing,Rs 514 Cr (Micro Cap),26,Average,-2,Expensive,Very Positive,-0.39,Mildly Bearish,48.0,Sell,Hold
532661,RML,INE050H01012,Auto Components & Equipments,"Rs 1,475 Cr (Small Cap)",29,Average,1,Attractive,Positive,0.11,Mildly Bullish,64.0,Hold,Sell
523054,,INE626H01019,Garments & Apparels,Rs 134 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Flat,,Does not qualify,28.0,Strong Sell,Not Rated
539287,ORTINGLOBE,INE749B01020,Pharmaceuticals & Biotechnology,Rs 9 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Flat,-0.39,Mildly Bearish,0.0,Not Rated,Strong Sell
532305,INDSWFTLAB,INE915B01019,Pharmaceuticals & Biotechnology,Rs 575 Cr (Micro Cap),64,Below Average,-1,Attractive,Very Negative,-0.28,Mildly Bearish,17.0,Strong Sell,Sell
539268,SYNGENE,INE398R01022,Healthcare Services,"Rs 26,032 Cr (Large Cap)",24,Good,1,Very Expensive,Positive,-1.06,Bearish,43.0,Sell,Hold
526883,,INE641B01011,Non Banking Financial Company (NBFC),Rs  Cr (),-99999,Does not qualify,-99999,Does not qualify,Flat,,Does not qualify,,,
532933,,INE386I01018,Auto Components & Equipments,Rs 71 Cr (Micro Cap),-99997,Below Average,-2,Very Expensive,Positive,-0.27,Mildly Bearish,27.0,Strong Sell,Sell
519479,,INE112B01013,Other Agricultural Products,Rs 7 Cr (Micro Cap),-99997,Below Average,-2,Risky,Positive,0.13,Mildly Bullish,39.0,Sell,Strong Sell
533022,20MICRONS,INE144J01027,Minerals & Mining,Rs 812 Cr (Micro Cap),8,Average,1,Attractive,Negative,-0.11,Mildly Bearish,34.0,Sell,Hold
590078,MAITHANALL,INE683C01011,Ferrous Metals,"Rs 3,182 Cr (Small Cap)",1,Average,2,Very Attractive,Negative,0.17,Mildly Bullish,50.0,Hold,Sell
526546,,INE493D01013,Healthcare Services,Rs 100 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Flat,1.33,Bullish,54.0,Hold,Sell
503663,,INE026L01022,Non Banking Financial Company (NBFC),Rs 150 Cr (Micro Cap),-99999,Below Average,-2,Very Attractive,Positive,-0.13,Mildly Bearish,37.0,Sell,Hold
526891,,INE944C01017,Non Banking Financial Company (NBFC),Rs 15 Cr (Micro Cap),-99999,Below Average,-2,Expensive,Flat,-1,Bearish,17.0,Strong Sell,Sell
521064,TRIDENT,INE064C01022,Garments & Apparels,"Rs 15,742 Cr (Mid Cap)",30,Average,-1,Fair,Positive,-0.33,Mildly Bearish,45.0,Sell,Strong Sell
523550,,INE951B01014,Diversified,Rs 73 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Negative,-1.07,Bearish,14.0,Strong Sell,Sell
521109,NAGREEKEXP,INE123B01028,Garments & Apparels,Rs 92 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Very Negative,-0.39,Mildly Bearish,17.0,Strong Sell,Sell
509024,,INE088E01019,Non Banking Financial Company (NBFC),Rs 12 Cr (Micro Cap),-99999,Does not qualify,-99999,Does not qualify,Flat,-0.28,Mildly Bearish,0.0,Not Rated,Not Rated
509026,,INE117F01013,Other Consumer Services,Rs 134 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-1.47,Bearish,12.0,Strong Sell,Sell
524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology,"Rs 67,723 Cr (Large Cap)",10,Good,1,Attractive,Flat,-0.72,Mildly Bearish,44.0,Sell,Hold
514138,,INE132C01027,Garments & Apparels,Rs 154 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Positive,-0.4,Mildly Bearish,37.0,Sell,Hold
522294,,INE811B01010,Industrial Manufacturing,Rs 77 Cr (Micro Cap),9,Below Average,-2,Risky,Negative,-0.67,Mildly Bearish,9.0,Strong Sell,Sell
531035,,INE432F01032,Automobiles,Rs 829 Cr (Micro Cap),-99997,Below Average,-2,Risky,Very Negative,-1.2,Bearish,1.0,Strong Sell,Sell
513430,,INE501L01024,Non - Ferrous Metals,Rs 11 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Flat,-0.33,Mildly Bearish,31.0,Sell,Strong Sell
515059,MADSUDIND,INE469C01023,Edible Oil,Rs 23 Cr (Micro Cap),-99997,Below Average,-2,Risky,Negative,-0.87,Mildly Bearish,9.0,Strong Sell,Sell
512257,,INE895A01023,Diversified,Rs 40 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Positive,-0.13,Mildly Bearish,34.0,Sell,Strong Sell
537069,,INE185K01036,Non Banking Financial Company (NBFC),Rs 65 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Very Negative,-0.8,Mildly Bearish,20.0,Strong Sell,Sell
504988,,INE380G01015,Other Industrial Products,Rs 80 Cr (Micro Cap),36,Below Average,-2,Risky,Flat,-0.33,Mildly Bearish,17.0,Strong Sell,Sell
526725,SANDESH,INE583B01015,Media & Entertainment,Rs 862 Cr (Micro Cap),7,Average,2,Risky,Negative,-0.72,Mildly Bearish,23.0,Strong Sell,Sell
507315,SAKHTISUG,INE623A01011,Sugar,Rs 311 Cr (Micro Cap),15,Below Average,-2,Very Attractive,Very Positive,-0.22,Mildly Bearish,43.0,Sell,Strong Sell
508993,,INE511J01027,Realty,Rs  Cr (Micro Cap),-99997,Does not qualify,-2,Does not qualify,Positive,,Does not qualify,,Not Rated,Strong Sell
532113,,INE957E01031,Non Banking Financial Company (NBFC),Rs 7 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Positive,0.07,Sideways,43.0,Sell,Strong Sell
523708,EIMCOELECO,INE158B01016,Industrial Manufacturing,"Rs 1,537 Cr (Small Cap)",18,Average,3,Very Expensive,Positive,0.11,Mildly Bullish,57.0,Hold,Sell
500187,AGI,INE415A01038,Packaging,"Rs 5,513 Cr (Mid Cap)",3,Average,0,Very Attractive,Positive,0.11,Mildly Bullish,67.0,Hold,Sell
538401,,INE318N01011,Industrial Manufacturing,Rs 86 Cr (Micro Cap),-99997,Below Average,-2,Fair,Negative,-1.13,Bearish,12.0,Strong Sell,Sell
511710,,INE717D01023,Non Banking Financial Company (NBFC),Rs 15 Cr (Micro Cap),-99997,Below Average,-2,Very Expensive,Flat,-0.53,Mildly Bearish,21.0,Strong Sell,Sell
504093,LAKHNNATNL,INE795A01017,FMCG,Rs 302 Cr (Micro Cap),7,Average,3,Very Attractive,Negative,-0.33,Mildly Bearish,37.0,Sell,Hold
530231,,INE690D01014,Garments & Apparels,Rs 31 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Flat,0.87,Mildly Bullish,0.0,Not Rated,Sell
538777,,INE131Q01011,Non Banking Financial Company (NBFC),Rs 5 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Flat,,Does not qualify,,Not Rated,Strong Sell
530581,,INE906L01025,Diversified Commercial Services,Rs 4 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Flat,-0.27,Mildly Bearish,,Not Rated,Not Rated
531497,MADHUCON,INE378D01032,Construction,Rs 64 Cr (Micro Cap),-99997,Below Average,-2,Risky,Very Negative,-0.28,Mildly Bearish,6.0,Strong Sell,Sell
530313,,INE285U01025,Pharmaceuticals & Biotechnology,Rs 241 Cr (Micro Cap),61,Below Average,-2,Expensive,Very Positive,-0.33,Mildly Bearish,34.0,Sell,Strong Sell
532334,,INE640B01021,Realty,Rs 201 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Very Positive,-0.87,Mildly Bearish,43.0,Sell,Hold
502175,SAURASHCEM,INE626A01014,Cement & Cement Products,"Rs 1,001 Cr (Micro Cap)",20,Average,3,Very Expensive,Positive,-0.28,Mildly Bearish,41.0,Sell,Strong Sell
531067,,INE080G01029,Trading & Distributors,Rs 49 Cr (Micro Cap),-99999,Below Average,-2,Expensive,Flat,-0.93,Mildly Bearish,23.0,Strong Sell,Sell
506235,ALEMBICLTD,INE426A01027,Realty,"Rs 2,861 Cr (Small Cap)",50,Average,0,Very Expensive,Positive,-0.17,Mildly Bearish,41.0,Sell,Hold
500280,CENTENKA,INE485A01015,Garments & Apparels,"Rs 1,035 Cr (Small Cap)",7,Average,3,Expensive,Negative,-0.94,Mildly Bearish,28.0,Strong Sell,Sell
532757,VOLTAMP,INE540H01012,Heavy Electrical Equipment,"Rs 9,317 Cr (Mid Cap)",8,Good,2,Very Expensive,Positive,-0.06,Sideways,54.0,Hold,Sell
500357,,INE425E01013,"Paper, Forest & Jute Products",Rs 13 Cr (Micro Cap),-99997,Below Average,-2,Risky,Negative,-1.27,Bearish,3.0,Strong Sell,Sell
509945,,INE077P01034,Non Banking Financial Company (NBFC),Rs 152 Cr (Micro Cap),-99999,Average,-2,Very Expensive,Flat,0.2,Mildly Bullish,35.0,Sell,Hold
532614,IMPEXFERRO,INE691G01015,Ferrous Metals,Rs 19 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-0.44,Mildly Bearish,17.0,Strong Sell,Sell
